,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03015727996826172,0.004549451350319115,0.0,0.0,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,781,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
1,0.026384401321411132,0.011916658521028082,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",0.24154589371980675,0.33816425120772947,0.33816425120772947,0.36097560975609755,0.3333333333333333,0.32233009708737864,0.041635955926380926,924,0.24179829890643986,0.33657351154313486,0.3487241798298906,0.343030303030303,0.35351089588377727,0.32472743783870917,0.04184948626615026
2,0.029831409454345703,0.003925357896419507,0.00010542869567871093,0.00021085739135742187,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",0.4444444444444444,0.34782608695652173,0.33816425120772947,0.33170731707317075,0.25,0.34271844660194173,0.061772764325527585,890,0.425273390036452,0.3001215066828676,0.32563791008505466,0.3503030303030303,0.288135593220339,0.33789428606554867,0.048666238548794816
3,0.02358078956604004,0.006616767225735416,0.0031270503997802733,0.0062541007995605465,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,2,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
4,0.03386106491088867,0.003193565790793893,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",0.38164251207729466,0.26570048309178745,0.40096618357487923,0.2926829268292683,0.24019607843137256,0.31650485436893205,0.06380704521385841,951,0.36816524908869985,0.26852976913730253,0.353584447144593,0.3018181818181818,0.21912832929782083,0.3022451952973196,0.054820612888470684
5,0.04872274398803711,0.029380295893233793,0.003227853775024414,0.006455707550048828,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",0.3864734299516908,0.357487922705314,0.37681159420289856,0.375609756097561,0.4264705882352941,0.3844660194174757,0.02288921675181646,658,0.36330498177399756,0.4082624544349939,0.3645200486026732,0.416969696969697,0.4261501210653753,0.3958414605693474,0.026679399030148116
6,0.0383054256439209,0.00791524728789583,0.0031242847442626955,0.006248569488525391,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",0.391304347826087,0.4492753623188406,0.357487922705314,0.35609756097560974,0.4019607843137255,0.3912621359223301,0.03426952902246797,607,0.37910085054678005,0.4289185905224787,0.41190765492102066,0.3890909090909091,0.4346246973365617,0.40872854048355006,0.02168774956808281
7,0.04263958930969238,0.01370425604290264,0.00020375251770019532,0.00040750503540039064,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",0.3526570048309179,0.3526570048309179,0.33816425120772947,0.37073170731707317,0.39705882352941174,0.36213592233009706,0.020195542205149464,724,0.330498177399757,0.39003645200486026,0.34750911300121506,0.3381818181818182,0.38861985472154964,0.35896908306184006,0.025370784131594423
8,0.036976861953735354,0.01143285763838637,0.0031280040740966795,0.006256008148193359,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",0.34782608695652173,0.34782608695652173,0.357487922705314,0.37073170731707317,0.3627450980392157,0.3572815533980582,0.00882396133475958,740,0.34750911300121506,0.34750911300121506,0.3487241798298906,0.36484848484848487,0.37409200968523004,0.35653658007320715,0.010966355738252791
9,0.026076841354370116,0.0065326566685607644,0.0032260894775390627,0.006205219022728301,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,781,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
10,0.02673811912536621,0.0058019354837367705,0.003124427795410156,0.006248855590820312,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 2}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,781,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
