,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.04710825284322103,0.02114039743929171,0.0003364086151123047,0.0004757536259909718,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",0.22608695652173913,0.22740524781341107,0.4444444444444444,0.29902912621359223,0.10252622974791001,1022,0.22627737226277372,0.22561863173216884,0.4258720930232558,0.2925893656727328,0.0942455040210303
1,0.035701592763264976,0.0031502302723620305,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",0.40869565217391307,0.3673469387755102,0.32456140350877194,0.36699029126213595,0.03435659565035329,817,0.3722627737226277,0.43085880640465796,0.34011627906976744,0.3810792863990177,0.037566383364301896
2,0.03702688217163086,0.008046209691844988,0.00033354759216308594,0.000471707528533926,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",0.3217391304347826,0.3236151603498542,0.3362573099415205,0.3271844660194175,0.006442567165003863,976,0.3197080291970803,0.34643377001455605,0.33575581395348836,0.33396587105504155,0.01098390420101151
3,0.06675124168395996,0.0030108451035216733,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",0.4057971014492754,0.3498542274052478,0.3830409356725146,0.3796116504854369,0.022988150700798033,763,0.4218978102189781,0.3813682678311499,0.4055232558139535,0.4029297779546938,0.01664743317745097
4,0.05548016230265299,0.006108767596570192,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",0.22318840579710145,0.2857142857142857,0.34210526315789475,0.283495145631068,0.04858423284507353,1037,0.23065693430656933,0.29112081513828236,0.3372093023255814,0.286329017256811,0.04363158472037889
5,0.056187709172566734,0.004444767623605234,0.005208174387613933,0.007365470854167811,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",0.4289855072463768,0.42565597667638483,0.4093567251461988,0.42135922330097086,0.008571021116135159,399,0.42773722627737226,0.4264919941775837,0.42151162790697677,0.4252469494539776,0.002689748568200176
6,0.0821543534596761,0.0232538476016302,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",0.30144927536231886,0.27405247813411077,0.32748538011695905,0.30097087378640774,0.02179002358345567,1021,0.30802919708029197,0.2547307132459971,0.36191860465116277,0.3082261716591506,0.04375949508552351
7,0.06151493390401205,0.01618349698618048,0.0,0.0,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",0.4260869565217391,0.4518950437317784,0.4327485380116959,0.4368932038834951,0.010943644929776201,45,0.42627737226277373,0.45414847161572053,0.42441860465116277,0.4349481495098857,0.01359786823940555
8,0.07195774714152019,0.009165042448386463,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",0.4144927536231884,0.4227405247813411,0.4269005847953216,0.42135922330097086,0.005159808164756694,399,0.42773722627737226,0.4177583697234352,0.4258720930232558,0.42378922967468774,0.0043319075342254714
9,0.0615239143371582,0.01757180862607107,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",0.34782608695652173,0.4402332361516035,0.41812865497076024,0.40194174757281553,0.03944842102919852,662,0.34744525547445254,0.44250363901018924,0.3808139534883721,0.3902542826576713,0.03937735331570966
