,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03173007965087891,0.007326539825741152,0.003529787063598633,0.006062225927379243,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,793,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
1,0.027425384521484374,0.009230149893513286,0.00020532608032226564,0.00041065216064453127,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",0.33816425120772947,0.32367149758454106,0.357487922705314,0.28780487804878047,0.27941176470588236,0.3174757281553398,0.02962532190994293,958,0.32320777642770354,0.34143377885783716,0.33292831105710813,0.2909090909090909,0.2397094430992736,0.30563768007020264,0.037143805090112114
2,0.022779083251953124,0.008858472196348624,9.999275207519531e-05,0.0001999855041503906,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",0.3961352657004831,0.30917874396135264,0.357487922705314,0.34146341463414637,0.4264705882352941,0.36601941747572814,0.04110957998655081,741,0.35844471445929527,0.28554070473876064,0.36816524908869985,0.37212121212121213,0.387409200968523,0.3543362162752982,0.03564006932432477
3,0.021480083465576172,0.005954674611401871,0.0001937389373779297,0.0003874778747558594,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,52,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
4,0.022355031967163087,0.006202095522375126,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",0.2946859903381642,0.2995169082125604,0.30917874396135264,0.2975609756097561,0.35784313725490197,0.3116504854368932,0.023468550323051743,960,0.30741190765492105,0.3001215066828676,0.3037667071688943,0.30666666666666664,0.37167070217917675,0.31792749807050524,0.026993692899698267
5,0.03256125450134277,0.007991240777229904,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",0.38164251207729466,0.34782608695652173,0.3671497584541063,0.36097560975609755,0.4068627450980392,0.37281553398058254,0.020127175128977534,727,0.3511543134872418,0.3718104495747266,0.3572296476306197,0.36848484848484847,0.39709443099273606,0.3691547380340345,0.01583888293672495
6,0.027601337432861327,0.010878110842826477,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",0.42995169082125606,0.45410628019323673,0.41545893719806765,0.4097560975609756,0.43137254901960786,0.42815533980582526,0.01542130271556247,37,0.38153098420413123,0.4289185905224787,0.41919805589307413,0.4206060606060606,0.40556900726392253,0.41116453969793343,0.016603274463918554
7,0.0390533447265625,0.00731068144210446,0.0004021167755126953,0.0008042335510253906,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",0.36231884057971014,0.37681159420289856,0.4057971014492754,0.3951219512195122,0.4264705882352941,0.3932038834951456,0.022304606228105622,622,0.33414337788578374,0.4046172539489672,0.3997569866342649,0.4024242424242424,0.3946731234866828,0.38712299687598817,0.026696963435044206
8,0.036907386779785153,0.011488743230031379,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",0.34782608695652173,0.34782608695652173,0.4057971014492754,0.3463414634146341,0.4264705882352941,0.37475728155339805,0.03428588323352819,712,0.34750911300121506,0.34750911300121506,0.3997569866342649,0.3478787878787879,0.3946731234866828,0.3674654248004331,0.02434398874722674
9,0.023178625106811523,0.007007920474108193,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,793,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
10,0.027230119705200194,0.0049782734474811095,0.0,0.0,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 2}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,793,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
