,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.053464015324910484,0.027807304432857227,0.00016578038533528647,0.00023444886931659985,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",0.22608695652173913,0.3877551020408163,0.4269005847953216,0.3466019417475728,0.08700409183747494,985,0.22627737226277372,0.4104803493449782,0.4273255813953488,0.3546944343343669,0.09106461747584248
1,0.04080939292907715,0.004265937195539615,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",0.39420289855072466,0.3498542274052478,0.3830409356725146,0.3757281553398058,0.018841906096836118,768,0.4218978102189781,0.4032023289665211,0.3808139534883721,0.4019713642246237,0.016794984898516295
2,0.04908212025960287,0.003064526419211828,0.0,0.0,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",0.4057971014492754,0.4227405247813411,0.21637426900584794,0.3485436893203884,0.09344268653355436,884,0.42043795620437957,0.40465793304221254,0.23982558139534885,0.35497382354731366,0.08167655941074434
3,0.06150976816813151,0.006238339095891305,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",0.3739130434782609,0.3673469387755102,0.4619883040935672,0.4009708737864078,0.043103826642991706,646,0.3854014598540146,0.37117903930131,0.42441860465116277,0.39366636793549575,0.022506952390417948
4,0.06535029411315918,0.0027152311648209844,0.00034308433532714844,0.0004851945200574121,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",0.3710144927536232,0.2565597667638484,0.3684210526315789,0.3320388349514563,0.05334341594901863,1030,0.3635036496350365,0.27219796215429404,0.36627906976744184,0.33399356051892415,0.04371077458445721
5,0.05120412508646647,0.0030835780469074233,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",0.42028985507246375,0.43440233236151604,0.3567251461988304,0.40388349514563104,0.03374533931210715,588,0.4248175182481752,0.4163027656477438,0.4011627906976744,0.4140943581978645,0.009782444529891878
6,0.08769758542378743,0.005032431461190709,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",0.3565217391304348,0.36151603498542273,0.3888888888888889,0.36893203883495146,0.014217783073012127,791,0.41021897810218977,0.4119359534206696,0.4186046511627907,0.41358652756188335,0.0036169208282326587
7,0.06621360778808594,0.002735586503133052,0.00016673405965169272,0.00023579756846894845,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",0.43478260869565216,0.42565597667638483,0.4327485380116959,0.43106796116504853,0.003913229683122036,106,0.41897810218978104,0.4264919941775837,0.4316860465116279,0.4257187142929975,0.005216731643262163
8,0.07206169764200847,0.009268218412321682,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",0.4115942028985507,0.42565597667638483,0.4269005847953216,0.42135922330097086,0.006948623796272584,385,0.4467153284671533,0.4264919941775837,0.4258720930232558,0.4330264718893309,0.009682791097833552
9,0.066864013671875,0.02077210683486931,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",0.34782608695652173,0.446064139941691,0.4152046783625731,0.4029126213592233,0.04106909060563457,601,0.34744525547445254,0.438136826783115,0.44476744186046513,0.41011650803934424,0.044397865471328894
10,0.04081288973490397,0.004289916891922731,0.0,0.0,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",0.4144927536231884,0.3965014577259475,0.38011695906432746,0.3970873786407767,0.0140432353590343,669,0.41897810218978104,0.4104803493449782,0.42296511627906974,0.41747452260460965,0.005206592937571532
11,0.05359570185343424,0.00867505679408906,0.0003333886464436849,0.00047148274534186793,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",0.34782608695652173,0.3469387755102041,0.347953216374269,0.34757281553398056,0.0004510052093832608,886,0.34744525547445254,0.34788937409024745,0.34738372093023256,0.3475727834983109,0.0002252684727314856
12,0.07762392361958821,0.006521622142802669,0.00016681353251139322,0.00023590996006497754,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",0.4260869565217391,0.41690962099125367,0.40058479532163743,0.4145631067961165,0.010544808116835355,494,0.4467153284671533,0.42358078602620086,0.39825581395348836,0.4228506428156142,0.019790249595124695
13,0.05511474609375,0.009929098945064838,0.0,0.0,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 5}",0.4260869565217391,0.42565597667638483,0.4269005847953216,0.4262135922330097,0.0005153877544269822,206,0.42627737226277373,0.4264919941775837,0.4258720930232558,0.42621381982120443,0.00025703248161317114
