,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
22,0.18125476837158203,0.06672150128777271,0.0,0.0,1.0,"(12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12)}",0.7361516034985423,0.6690962099125365,0.6982507288629738,0.6744525547445256,0.7036496350364964,0.6963243873978997,0.023934169870410627,47,0.7086068563092633,0.6830780452224654,0.7319474835886215,0.6748086037185563,0.7090776522056143,0.7015037282089043,0.020429275367521132
23,0.37186808586120607,0.10144228441182437,0.0,0.0,1.0,"(12, 12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12, 12)}",0.7478134110787172,0.6967930029154519,0.7128279883381924,0.7153284671532847,0.708029197080292,0.7161610268378062,0.017062673412257298,30,0.7228300510576222,0.7053245805981035,0.7129832239241429,0.7225665329930733,0.7324097703244623,0.7192228317794809,0.009275578785224588
24,0.09063172340393066,0.033380081672187305,0.0,0.0,1.0,"(18,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18,)}",0.6676384839650146,0.6661807580174927,0.7026239067055393,0.6627737226277373,0.6744525547445256,0.6747374562427071,0.014455996660436269,92,0.6797957695113056,0.6626549963530269,0.7235594456601021,0.6671527524608093,0.6638716733503464,0.6794069274671182,0.022898612108712108
25,0.1593799114227295,0.026889906452178335,0.0,0.0,1.0,"(18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18)}",0.6618075801749271,0.7201166180758017,0.6982507288629738,0.7167883211678832,0.7094890510948905,0.7012835472578763,0.021122570920394698,44,0.6695842450765864,0.7312180889861415,0.7312180889861415,0.7200145825738243,0.7367845424717463,0.717763909618888,0.024698825733927048
26,0.29687862396240233,0.09323574709064626,0.0,0.0,1.0,"(18, 18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18, 18)}",0.7565597667638484,0.7055393586005831,0.6924198250728864,0.7401459854014598,0.7182481751824817,0.7225787631271878,0.023164887278605484,13,0.7228300510576222,0.7195477753464624,0.7221006564551422,0.7480860371855632,0.7440758293838863,0.7313280698857353,0.01216118137599203
27,0.10313000679016113,0.057277088048816545,0.0,0.0,0.31622776601683794,"(6,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6,)}",0.7128279883381924,0.6953352769679301,0.619533527696793,0.6627737226277373,0.6715328467153284,0.6724037339556592,0.03178534093916093,95,0.6907366885485048,0.7177242888402626,0.6517140773158279,0.6627779803135253,0.6591323368574553,0.6764170743751152,0.024520858135599087
28,0.0562495231628418,0.007644060791191443,0.0,0.0,0.31622776601683794,"(6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
29,0.20000157356262208,0.051725949202612684,0.0,0.0,0.31622776601683794,"(6, 6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6, 6)}",0.6967930029154519,0.685131195335277,0.6690962099125365,0.6656934306569343,0.7036496350364964,0.6840723453908985,0.01488536590090143,80,0.6805251641137856,0.6797957695113056,0.6823486506199854,0.6893911775428363,0.7079839591687933,0.6880089441913412,0.010549065534684569
30,0.14686570167541504,0.015914106723135608,0.0,0.0,0.31622776601683794,"(12,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12,)}",0.7288629737609329,0.7011661807580175,0.6953352769679301,0.6686131386861314,0.6642335766423357,0.691656942823804,0.02354165598518654,63,0.7060539752005836,0.6918307804522247,0.700218818380744,0.6766314254465913,0.6853809697411594,0.6920231938442606,0.010441204771181281
31,0.20312957763671874,0.059298512090001816,0.0,0.0,0.31622776601683794,"(12, 12)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12, 12)}",0.7288629737609329,0.6676384839650146,0.7099125364431487,0.689051094890511,0.7021897810218978,0.6995332555425904,0.020509641789977332,46,0.7169948942377826,0.6856309263311452,0.7293946024799417,0.7276704338315713,0.7068902661319723,0.7133162246024826,0.016036576010396607
