,cancer SSE (left),wine SSE (left)
1,2322.0,34279.99999999999
2,878.2987706222968,28696.477601801038
3,659.3491701340499,25130.453953306635
4,585.6565899636835,21689.765692942678
5,537.9824470759625,18686.904841093165
6,503.2958054211435,15255.922985630099
7,472.68999871683616,13830.261777708558
8,445.66059160208215,10404.334651350715
9,420.8921260417244,9490.0857425775
