,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.34557666778564455,0.02462511881532825,0.11051530838012695,0.008053579089953196,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 11}",0.6720116618075802,0.6574344023323615,0.6559766763848397,0.6481751824817519,0.6817518248175183,0.6630688448074679,0.01210363266819164,1194,0.6710430342815463,0.6630196936542669,0.6735959153902261,0.6697047028800583,0.6646008020415604,0.6683928296495316,0.0039766005832310705
11,0.3530592918395996,0.018167825801609305,0.1034013271331787,0.006230659090201865,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 1}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
12,0.32998361587524416,0.007425270153654049,0.10950431823730469,0.012636829252358189,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 2}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
13,0.35776052474975584,0.00935054514767075,0.1066439151763916,0.007762454169540948,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 3}",0.6763848396501457,0.6647230320699709,0.6865889212827988,0.6656934306569343,0.6802919708029197,0.6747374562427071,0.00843979001273492,892,0.6805251641137856,0.675054704595186,0.6714077315827863,0.6773605541378053,0.6784542471746263,0.6765604803208378,0.0031229271102803918
14,0.3162076950073242,0.009757982009635145,0.1070319652557373,0.008314715036539995,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 4}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6671532846715329,0.6642335766423357,0.6651108518086347,0.0010381035782256636,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6646008020415604,0.6653299307327744,0.665110873031891,0.00025937936298202677
15,0.38538365364074706,0.02501882256820034,0.10017180442810059,0.0001911971926239147,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 5}",0.7113702623906706,0.685131195335277,0.6938775510204082,0.6802919708029197,0.6875912408759124,0.691656942823804,0.010788428254116909,717,0.6867250182348651,0.6962071480671043,0.6958424507658644,0.6970470288005833,0.6908494349252643,0.6933342161587362,0.003954379629805186
16,0.36355080604553225,0.032183193543538394,0.11362228393554688,0.006757303241070199,10.0,"(6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 6}",0.6545189504373178,0.6574344023323615,0.6647230320699709,0.656934306569343,0.6656934306569343,0.6598599766627772,0.004486526787432545,1221,0.6608315098468271,0.6568198395331875,0.6652078774617067,0.6554866934013853,0.6646008020415604,0.6605893444569334,0.003942778165464928
17,0.33069567680358886,0.01598577647228704,0.10028629302978516,3.171142774032415e-05,10.0,"(6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 7}",0.6661807580174927,0.6647230320699709,0.6661807580174927,0.6656934306569343,0.6656934306569343,0.6656942823803967,0.000532441962967359,1066,0.6663019693654267,0.6655725747629467,0.6663019693654267,0.6664236237695953,0.6653299307327744,0.6659860135992339,0.00044554127813189147
18,0.4061305999755859,0.03977810279784643,0.11890745162963867,0.006311202155489986,10.0,"(6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 8}",0.6647230320699709,0.34110787172011664,0.6632653061224489,0.67007299270073,0.6686131386861314,0.6015169194865811,0.13027559432997562,1259,0.6681254558716265,0.3486506199854121,0.6692195477753464,0.6678818811520233,0.6682464454976303,0.6044247900564077,0.12788789437803733
19,0.3340141773223877,0.00993155347583757,0.10352501869201661,0.006296507442666566,10.0,"(6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 9}",0.6690962099125365,0.6705539358600583,0.6647230320699709,0.6642335766423357,0.6686131386861314,0.6674445740956826,0.002509191328916942,1029,0.6644784828592268,0.6652078774617067,0.6666666666666666,0.6675173168064163,0.6656944950783813,0.6659129677744795,0.0010718794220018098
