,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2259502410888672,0.011866266093367564,0.07515077590942383,0.012133195000761444,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 1}",0.8717948717948718,0.9358974358974359,0.9102564102564102,0.922077922077922,0.881578947368421,0.9043927648578811,0.024198974486968623,230,0.9255663430420712,0.9093851132686084,0.9158576051779935,0.9129032258064517,0.9228295819935691,0.9173083738577388,0.0060492298982217285
1,0.2227783679962158,0.013952687765400259,0.08593411445617676,0.011050184243344327,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 2}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,872,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
2,0.22403130531311036,0.022569854696348302,0.09002337455749512,0.00833609909962092,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 3}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,872,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
3,0.21933941841125487,0.011326431203053806,0.0855553150177002,0.007588578318300647,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 4}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,872,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
4,0.21677865982055664,0.008992045480729198,0.09045901298522949,0.010943666232463107,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 5}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,561,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
5,0.23039917945861815,0.021834782529403622,0.10334768295288085,0.006068487225216382,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 6}",0.8205128205128205,0.782051282051282,0.7435897435897436,0.7532467532467533,0.7105263157894737,0.7622739018087855,0.03707961800063936,398,0.8122977346278317,0.8058252427184466,0.7216828478964401,0.7,0.7202572347266881,0.7520126119938813,0.0472518901600838
6,0.2136155605316162,0.01383872544008888,0.09600930213928223,0.008202444439673376,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 7}",0.358974358974359,0.3717948717948718,0.3717948717948718,0.38961038961038963,0.35526315789473684,0.3695090439276486,0.012030139282816222,1002,0.3592233009708738,0.37216828478964403,0.37540453074433655,0.36774193548387096,0.36977491961414793,0.36886259432057467,0.005453965742485033
7,0.23755531311035155,0.015575127900979875,0.09595422744750977,0.011951214523153139,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 8}",0.782051282051282,0.7051282051282052,0.7307692307692307,0.7012987012987013,0.7105263157894737,0.7260981912144703,0.029900128011312397,464,0.7605177993527508,0.627831715210356,0.7605177993527508,0.6935483870967742,0.6913183279742765,0.7067468057973817,0.049844693202699436
8,0.2344730854034424,0.021571315639022856,0.09052085876464844,0.009161558873301766,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 9}",0.6923076923076923,0.7692307692307693,0.6538461538461539,0.7012987012987013,0.631578947368421,0.689922480620155,0.04717421674713433,505,0.686084142394822,0.7508090614886731,0.6440129449838188,0.7483870967741936,0.6559485530546624,0.697048359739234,0.04505117615046349
9,0.2194575309753418,0.01229828240095669,0.09794082641601562,0.010932511111157698,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 1}",0.8589743589743589,0.8846153846153846,0.8205128205128205,0.922077922077922,0.881578947368421,0.8733850129198967,0.033401158780735546,284,0.9158576051779935,0.8284789644012945,0.8446601941747572,0.9129032258064517,0.9228295819935691,0.8849459143108133,0.03995940904066145
10,0.21725063323974608,0.014911127389555207,0.1032212257385254,0.0062127185502794694,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 2}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,561,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
