,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11562514305114746,0.0076559248343743055,0.0,0.0,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 1}",0.673469387755102,0.6676384839650146,0.6457725947521866,0.6686131386861314,0.6525547445255474,0.661610268378063,0.010573434845781984,1115,0.6692195477753464,0.661560904449307,0.6761487964989059,0.6511119212541013,0.6551221290557784,0.6626326598066878,0.009125318544553576
1,0.09375014305114746,0.00989057592271957,0.003124856948852539,0.006249713897705078,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 2}",0.6588921282798834,0.6705539358600583,0.6282798833819242,0.6452554744525547,0.6613138686131387,0.6528588098016336,0.014719945642843029,1199,0.661560904449307,0.6652078774617067,0.6549963530269876,0.6452788917243893,0.6653299307327744,0.658474791479033,0.007590557011218998
2,0.05937519073486328,0.030294196806093902,0.0031249523162841797,0.006249904632568359,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 3}",0.33527696793002915,0.3323615160349854,0.33819241982507287,0.3357664233576642,0.3343065693430657,0.3351808634772462,0.0019049232849317058,1285,0.3347921225382932,0.33552151714077316,0.3347921225382932,0.33649289099526064,0.33685745534086764,0.3356912217106976,0.0008542052220211665
3,0.16563148498535157,0.01593353670576071,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 4}",0.6793002915451894,0.6924198250728864,0.6341107871720116,0.6963503649635037,0.6598540145985401,0.6724037339556592,0.02300421748558332,737,0.6695842450765864,0.6681254558716265,0.6863603209336251,0.6759022967553773,0.6831935836675174,0.6766331804609467,0.007214696261654776
4,0.04688262939453125,1.341853991995759e-05,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 5}",0.6661807580174927,0.6705539358600583,0.6705539358600583,0.6715328467153284,0.6656934306569343,0.6689031505250875,0.002452412894842842,791,0.6699489423778264,0.6684901531728665,0.6684901531728665,0.6682464454976303,0.6700692672256653,0.669048992289371,0.0007898803423994616
5,0.0687483310699463,0.027251984477964515,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 6}",0.6559766763848397,0.6705539358600583,0.6545189504373178,0.6861313868613139,0.6788321167883211,0.6691948658109685,0.012422309045199092,787,0.6652078774617067,0.6695842450765864,0.6688548504741065,0.6817353262850894,0.6817353262850894,0.6734235251165156,0.006946679824678338
6,0.1312511920928955,0.05466513327357677,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 7}",0.6705539358600583,0.6661807580174927,0.6428571428571429,0.32116788321167883,0.6773722627737226,0.5956826137689615,0.1376723316236216,1268,0.6568198395331875,0.6663019693654267,0.6728665207877462,0.3106088224571637,0.6824644549763034,0.5978123214239656,0.14384553204352937
7,0.12811880111694335,0.01168688580398335,0.0,0.0,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 8}",0.6661807580174927,0.6690962099125365,0.6647230320699709,0.6671532846715329,0.6598540145985401,0.6654025670945157,0.0031157904479157763,911,0.6652078774617067,0.6637490882567469,0.6648431801604668,0.6569449507838133,0.6649653663871673,0.6631420926099802,0.003138741904121533
8,0.10938453674316406,0.03563717612893146,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 9}",0.6705539358600583,0.6574344023323615,0.6618075801749271,0.6948905109489051,0.6773722627737226,0.6724037339556592,0.013189819164369211,737,0.6776075857038658,0.6768781911013858,0.6776075857038658,0.6802770689026614,0.6846518410499454,0.6794044544923449,0.0028683097183009637
9,0.10937938690185547,0.022076637432916334,0.0,0.0,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 10}",0.6822157434402333,0.6778425655976676,0.6559766763848397,0.6467153284671533,0.6335766423357664,0.6592765460910152,0.018438332878561354,1167,0.6593727206418672,0.6608315098468271,0.6703136396790663,0.6460080204156033,0.6660590594239884,0.6605169900014705,0.008229305583505984
10,0.06872406005859374,0.02120242957003022,0.0,0.0,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 11}",0.6618075801749271,0.6720116618075802,0.6588921282798834,0.6437956204379562,0.656934306569343,0.6586931155192532,0.009078151578469824,1177,0.6597374179431073,0.6644784828592268,0.6703136396790663,0.6649653663871673,0.6434560699963544,0.6605901953729845,0.009199040731722808
11,0.07497682571411132,0.018243489871550403,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 1}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,931,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
