,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.006248998641967774,0.007653429083017494,0.0031314373016357424,0.006262874603271484,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 1}",0.10256410256410256,0.01282051282051282,0.0641025641025641,0.05194805194805195,0.09210526315789473,0.06459948320413436,0.03180155374782623,1041,0.05501618122977346,0.07766990291262135,0.06472491909385113,0.06774193548387097,0.05787781350482315,0.064606150444988,0.007971786623672024
1,0.018755102157592775,0.00625701862095692,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 2}",0.3974358974358974,0.3974358974358974,0.44871794871794873,0.38961038961038963,0.35526315789473684,0.3979328165374677,0.029853953328444795,947,0.37216828478964403,0.4077669902912621,0.3948220064724919,0.4096774193548387,0.38263665594855306,0.3934142713713579,0.014422351964042367
2,0.015632820129394532,0.009883177998957809,0.0,0.0,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 3}",0.34615384615384615,0.3076923076923077,0.23076923076923078,0.2857142857142857,0.27631578947368424,0.28940568475452194,0.03802367536543605,1040,0.313915857605178,0.29449838187702265,0.313915857605178,0.2870967741935484,0.29260450160771706,0.30040627457772884,0.011295409025495686
3,0.009376096725463866,0.007655577726906542,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 4}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,948,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
4,0.012501907348632813,0.01170135535073013,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 5}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,699,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
5,0.00937514305114746,0.007654772257366463,0.003124904632568359,0.0062498092651367175,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 6}",0.6025641025641025,0.6410256410256411,0.6666666666666666,0.6363636363636364,0.6578947368421053,0.6408268733850129,0.02215472738452528,696,0.6504854368932039,0.6407766990291263,0.6343042071197411,0.6419354838709678,0.6366559485530546,0.6408315550932187,0.00555807634505535
6,0.03125486373901367,1.5344676058555076e-05,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 7}",0.8717948717948718,0.9743589743589743,0.9102564102564102,0.935064935064935,0.9342105263157895,0.9250645994832042,0.03379656954166955,79,0.919093851132686,0.9255663430420712,0.948220064724919,0.9354838709677419,0.9356913183279743,0.9328110896390784,0.009935038762112094
7,0.04374384880065918,0.01167256480888724,0.0,0.0,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 8}",0.7435897435897436,0.8589743589743589,0.7435897435897436,0.7922077922077922,0.75,0.7777777777777778,0.04464203072934281,590,0.7734627831715211,0.8155339805825242,0.7669902912621359,0.7677419354838709,0.8231511254019293,0.7893760231803963,0.024687576701992363
8,0.034380626678466794,0.006244106087246974,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 9}",0.6282051282051282,0.5897435897435898,0.6025641025641025,0.6103896103896104,0.618421052631579,0.6098191214470284,0.01321241011512226,883,0.6051779935275081,0.6148867313915858,0.6116504854368932,0.6096774193548387,0.6077170418006431,0.6098219343022937,0.003317029144906791
9,0.025009727478027342,0.007658032264339421,0.003118133544921875,0.00623626708984375,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 1}",0.5769230769230769,0.6025641025641025,0.6153846153846154,0.5584415584415584,0.6052631578947368,0.5917312661498708,0.020906160976207188,896,0.6084142394822006,0.6019417475728155,0.598705501618123,0.5741935483870968,0.6077170418006431,0.5981944157721758,0.012533718863483345
10,0.015617036819458007,1.0978237126489826e-05,0.0,0.0,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 2}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,699,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
11,0.037505722045898436,0.012503580557998283,0.0,0.0,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 3}",0.7692307692307693,0.782051282051282,0.8333333333333334,0.5454545454545454,0.75,0.7364341085271318,0.09910466115050039,631,0.7831715210355987,0.7961165048543689,0.7928802588996764,0.6290322580645161,0.7331189710610932,0.7468639027830506,0.06314235762043847
