,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.08432741165161133,0.028873619049400168,0.0,0.0,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 1}",0.673469387755102,0.6443148688046647,0.6676384839650146,0.6394160583941606,0.6583941605839416,0.6566511085180864,0.013083627617543834,1173,0.6721371261852662,0.6721371261852662,0.6677607585703865,0.6532993073277433,0.6460080204156033,0.6622684677368531,0.010675149490985754
1,0.1281071662902832,0.020733404459206562,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 2}",0.6676384839650146,0.6647230320699709,0.6486880466472303,0.6642335766423357,0.6627737226277373,0.661610268378063,0.006653794982053283,1094,0.6663019693654267,0.675419401896426,0.675054704595186,0.6649653663871673,0.6569449507838133,0.667737278605604,0.006910538201081802
2,0.19377784729003905,0.08361028038127188,0.0,0.0,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 3}",0.6122448979591837,0.6137026239067055,0.6034985422740525,0.3343065693430657,0.6408759124087591,0.5609684947491248,0.11395915872835376,1256,0.6046681254558717,0.6389496717724289,0.5944566010211525,0.33175355450236965,0.6441851986875684,0.5628026302878782,0.11709813263785386
3,0.10312123298645019,0.06961059178616424,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 4}",0.33527696793002915,0.6486880466472303,0.6588921282798834,0.3343065693430657,0.33284671532846716,0.4620770128354726,0.15664435533088647,1260,0.3336980306345733,0.6385849744711889,0.6739606126914661,0.33430550492161865,0.33685745534086764,0.46348131561194295,0.15781414319505954
4,0.05000605583190918,0.006265608036997723,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 5}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6627737226277373,0.6656934306569343,0.6645274212368728,0.0009535211840147794,1029,0.6633843909555069,0.6633843909555069,0.6641137855579868,0.6631425446591324,0.6649653663871673,0.6637980957030601,0.000668465607487857
5,0.09584918022155761,0.01760338398830888,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 6}",0.6632653061224489,0.6443148688046647,0.6690962099125365,0.6656934306569343,0.6656934306569343,0.661610268378063,0.008847975806778301,1094,0.6659372720641867,0.6444201312910285,0.6677607585703865,0.6671527524608093,0.6642362376959533,0.6619014304164729,0.008823188443862888
6,0.1500072956085205,0.012478976645480458,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 7}",0.6749271137026239,0.7011661807580175,0.6778425655976676,0.6846715328467153,0.6934306569343066,0.6864060676779463,0.009752079850781975,383,0.6695842450765864,0.6932895696571846,0.6816192560175055,0.6923076923076923,0.7101713452424353,0.6893944216602808,0.013477656876262187
7,0.1093827247619629,0.03125824971516933,0.003123903274536133,0.006247806549072267,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 8}",0.6647230320699709,0.6690962099125365,0.6545189504373178,0.6598540145985401,0.6846715328467153,0.6665694282380397,0.010271854633961533,932,0.6633843909555069,0.6677607585703865,0.6535375638220278,0.6773605541378053,0.6861100984323734,0.66963067318362,0.011250096064952678
8,0.09687018394470215,0.02295807633332701,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 9}",0.6705539358600583,0.6588921282798834,0.6676384839650146,0.6583941605839416,0.672992700729927,0.6656942823803967,0.006002897051938975,951,0.6633843909555069,0.6684901531728665,0.6772428884026258,0.6715275246080933,0.6718920889537003,0.6705074092185586,0.004541615667260475
9,0.15937771797180175,0.05170660373481801,0.0,0.0,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 10}",0.6880466472303207,0.6880466472303207,0.6690962099125365,0.67007299270073,0.7094890510948905,0.6849474912485414,0.014788161533612043,420,0.6684901531728665,0.6812545587162655,0.6896425966447848,0.6802770689026614,0.7079839591687933,0.6855296673210742,0.013094447648827154
10,0.0656205177307129,0.00625229080505933,0.0,0.0,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 11}",0.6603498542274052,0.6355685131195336,0.641399416909621,0.6861313868613139,0.6656934306569343,0.6578179696616102,0.01807973509551321,1167,0.6673960612691466,0.6593727206418672,0.6425966447848286,0.6678818811520233,0.6554866934013853,0.6585468002498502,0.009272615745452696
11,0.09375481605529785,0.00988031593718906,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'pca__n_components': 1}",0.6647230320699709,0.6253644314868805,0.6618075801749271,0.656934306569343,0.6642335766423357,0.6546091015169195,0.014885567549295271,1191,0.6652078774617067,0.6542669584245077,0.6655725747629467,0.6656944950783813,0.6627779803135253,0.6627039772082135,0.004350409818820724
