,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.03859663009643555,0.022135722345796627,0.0,0.0,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",0.22608695652173913,0.40233236151603496,0.22514619883040934,0.28446601941747574,0.08328429564740918,1040,0.22627737226277372,0.42503639010189226,0.22674418604651161,0.2926859828037259,0.0935860645351649
1,0.05642167727152506,0.02190128354578154,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",0.4115942028985507,0.3965014577259475,0.4327485380116959,0.41359223300970877,0.014847687078161607,688,0.4145985401459854,0.42212518195050946,0.4055232558139535,0.41408232597014943,0.006787530020432844
2,0.0657799243927002,0.003215139775810107,0.00034228960673014325,0.0004840706040971216,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",0.4260869565217391,0.4227405247813411,0.4269005847953216,0.42524271844660194,0.001798975570248476,518,0.4233576642335766,0.42503639010189226,0.42296511627906974,0.4237863902048462,0.0008982940428420369
3,0.06167062123616537,0.006382092765371477,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",0.37681159420289856,0.4227405247813411,0.4269005847953216,0.4087378640776699,0.02272093135075732,736,0.37518248175182484,0.47016011644832606,0.4273255813953488,0.42422272653183324,0.03883648245626389
4,0.07731485366821289,0.016495944295625096,0.0,0.0,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",0.39710144927536234,0.35276967930029157,0.30994152046783624,0.3533980582524272,0.035593957594647674,927,0.35474452554744523,0.35807860262008734,0.32558139534883723,0.34613484117212323,0.014597080047955825
5,0.06682928403218587,0.0030366767110498304,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",0.4144927536231884,0.41690962099125367,0.43567251461988304,0.4223300970873786,0.009458751288615277,598,0.38686131386861317,0.4192139737991266,0.4258720930232558,0.4106491268969985,0.01703873380283376
6,0.10537656148274739,0.02640712443448648,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",0.4666666666666667,0.3848396501457726,0.32456140350877194,0.39223300970873787,0.05826243789638401,781,0.47153284671532847,0.4366812227074236,0.3793604651162791,0.4291915115130103,0.03800007730467561
7,0.07839067776997884,0.006723325320649277,0.0,0.0,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",0.4289855072463768,0.4402332361516035,0.4327485380116959,0.43398058252427185,0.004677665247985333,208,0.43503649635036495,0.43085880640465796,0.4375,0.43446510091834095,0.002741195924836025
8,0.08251523971557617,0.013136718546405166,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",0.4405797101449275,0.446064139941691,0.4269005847953216,0.43786407766990293,0.008048138185376839,144,0.45255474452554745,0.40465793304221254,0.4258720930232558,0.4276949235303386,0.01959622703244504
9,0.07731326421101888,0.027579934046248457,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",0.3507246376811594,0.4606413994169096,0.47076023391812866,0.42718446601941745,0.05441886166058616,415,0.34890510948905107,0.47016011644832606,0.45930232558139533,0.42612251717292415,0.054780586236917894
10,0.05645871162414551,0.02031683338136251,0.0,0.0,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",0.42318840579710143,0.4314868804664723,0.4473684210526316,0.43398058252427185,0.0100297416028157,208,0.43503649635036495,0.4395924308588064,0.42877906976744184,0.43446933232553775,0.004432715555680125
11,0.09492246309916179,0.014753221250498213,0.0,0.0,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",0.34782608695652173,0.40816326530612246,0.34210526315789475,0.36601941747572814,0.02986999304045478,914,0.34744525547445254,0.43231441048034935,0.3430232558139535,0.3742609739229184,0.04108965516481493
12,0.07095623016357422,0.009697324707964788,0.00032838185628255207,0.00046440207479203773,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",0.4260869565217391,0.42565597667638483,0.4239766081871345,0.42524271844660194,0.0009098762162109706,518,0.4248175182481752,0.43085880640465796,0.4331395348837209,0.42960528651218466,0.0035111702048552166
13,0.0668803056081136,0.013113654425323432,0.0,0.0,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 5}",0.43478260869565216,0.4402332361516035,0.4269005847953216,0.43398058252427185,0.005466131821915936,208,0.4467153284671533,0.43231441048034935,0.4258720930232558,0.43496727732358614,0.008713529434482715
14,0.06603678067525227,0.0025682206932206913,0.00017523765563964844,0.0002478234692440569,10.0,"(6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 6}",0.4260869565217391,0.42565597667638483,0.4269005847953216,0.4262135922330097,0.0005153877544269822,426,0.42627737226277373,0.4264919941775837,0.4258720930232558,0.42621381982120443,0.00025703248161317114
15,0.0948336919148763,0.007152553998981669,0.0,0.0,10.0,"(6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 7}",0.34202898550724636,0.21865889212827988,0.39473684210526316,0.31844660194174756,0.07372097386211095,1013,0.32554744525547447,0.1804949053857351,0.38953488372093026,0.2985257447873799,0.08745306305950745
16,0.10032184918721516,0.025495078149801495,0.005199432373046875,0.007353107778604617,10.0,"(6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 8}",0.36231884057971014,0.32653061224489793,0.4619883040935672,0.38349514563106796,0.05724121305700124,825,0.32554744525547447,0.3537117903930131,0.45058139534883723,0.37661354366577493,0.053552092372519094
17,0.10538276036580403,0.01951166006369698,0.0,0.0,10.0,"(6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 9}",0.3188405797101449,0.37026239067055394,0.43567251461988304,0.37475728155339805,0.04781316167283478,867,0.3416058394160584,0.37409024745269287,0.4011627906976744,0.3722862925221419,0.024347461216504565
18,0.0719294548034668,0.004387880700724652,0.000337521235148112,0.00047732710833537853,10.0,"(6, 6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 1}",0.3710144927536232,0.3877551020408163,0.4269005847953216,0.3951456310679612,0.023410585510216717,775,0.4043795620437956,0.4163027656477438,0.4273255813953488,0.4160026363622961,0.009370076812614762
19,0.08887370427449544,0.007055166477257536,0.0,0.0,10.0,"(6, 6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 2}",0.3681159420289855,0.42565597667638483,0.4473684210526316,0.41359223300970877,0.03346602960067213,688,0.3795620437956204,0.4556040756914119,0.41569767441860467,0.41695459796854567,0.03105674962943311
20,0.08652440706888835,0.023499660493004237,0.0,0.0,10.0,"(6, 6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 3}",0.3391304347826087,0.32653061224489793,0.38596491228070173,0.3504854368932039,0.02553914078885258,941,0.34306569343065696,0.34788937409024745,0.42877906976744184,0.37324471242944873,0.039318067157346016
21,0.06491454442342122,0.0029489048945772886,0.0,0.0,10.0,"(6, 6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 4}",0.4260869565217391,0.42565597667638483,0.4269005847953216,0.4262135922330097,0.0005153877544269822,426,0.42627737226277373,0.4264919941775837,0.4258720930232558,0.42621381982120443,0.00025703248161317114
22,0.07207393646240234,0.009297444169430883,0.0,0.0,10.0,"(6, 6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 5}",0.3884057971014493,0.40524781341107874,0.4327485380116959,0.4087378640776699,0.01827422517093855,736,0.3416058394160584,0.40465793304221254,0.3866279069767442,0.37763055981167176,0.02651547748852804
23,0.07204492886861165,0.0042442253137361715,0.0,0.0,10.0,"(6, 6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 6}",0.34782608695652173,0.3469387755102041,0.347953216374269,0.34757281553398056,0.0004510052093832608,942,0.34744525547445254,0.34788937409024745,0.34738372093023256,0.3475727834983109,0.0002252684727314856
24,0.07715106010437012,0.010357474942984132,0.0,0.0,10.0,"(6, 6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 7}",0.4260869565217391,0.42565597667638483,0.4269005847953216,0.4262135922330097,0.0005153877544269822,426,0.42627737226277373,0.4264919941775837,0.4258720930232558,0.42621381982120443,0.00025703248161317114
25,0.07947738965352376,0.007377625175191082,0.0,0.0,10.0,"(6, 6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 8}",0.34782608695652173,0.3469387755102041,0.347953216374269,0.34757281553398056,0.0004510052093832608,942,0.34744525547445254,0.34788937409024745,0.34738372093023256,0.3475727834983109,0.0002252684727314856
26,0.08249600728352864,0.0030892820889399306,0.0,0.0,10.0,"(6, 6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_clusters': 9}",0.4144927536231884,0.42565597667638483,0.41228070175438597,0.4174757281553398,0.005850251296605149,661,0.4131386861313869,0.4395924308588064,0.4186046511627907,0.423778589384328,0.011402554686445847
27,0.023027817408243816,0.006402995106515557,0.005218187967936198,0.007379632195267471,10.0,"(12,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_clusters': 1}",0.43478260869565216,0.42565597667638483,0.4298245614035088,0.4300970873786408,0.003734478125760617,357,0.42773722627737226,0.43377001455604075,0.43023255813953487,0.4305799329909827,0.002475094014291678
28,0.0503989060719808,0.007315576633991727,0.0,0.0,10.0,"(12,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_clusters': 2}",0.34782608695652173,0.3469387755102041,0.347953216374269,0.34757281553398056,0.0004510052093832608,942,0.34744525547445254,0.34788937409024745,0.3488372093023256,0.34805727962234184,0.0005805331259647113
29,0.09509968757629395,0.019518218141452773,0.0,0.0,10.0,"(12,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_clusters': 3}",0.39710144927536234,0.3848396501457726,0.3538011695906433,0.3786407766990291,0.018215830568867473,845,0.3956204379562044,0.36681222707423583,0.39244186046511625,0.38495817516518555,0.012896573519254193
